Training Log for rl_finetuned
==================================================
Epoch 0 | Loss: 0.96 | Avg Makespan: 119.0 | Best: 113.0 | Baseline: 147.6 | LR: 9.999994e-06
Epoch 1 | Loss: 0.78 | Avg Makespan: 117.2 | Best: 110.0 | Baseline: 147.2 | LR: 9.999976e-06
Epoch 2 | Loss: 1.14 | Avg Makespan: 123.5 | Best: 119.0 | Baseline: 147.5 | LR: 9.999945e-06
Epoch 3 | Loss: 1.09 | Avg Makespan: 113.5 | Best: 103.0 | Baseline: 147.7 | LR: 9.999902e-06
Epoch 4 | Loss: 0.70 | Avg Makespan: 112.0 | Best: 108.0 | Baseline: 147.3 | LR: 9.999847e-06
Epoch 5 | Loss: 1.12 | Avg Makespan: 119.2 | Best: 111.0 | Baseline: 147.2 | LR: 9.999780e-06
Epoch 6 | Loss: 1.31 | Avg Makespan: 120.8 | Best: 117.0 | Baseline: 147.7 | LR: 9.999701e-06
Epoch 7 | Loss: 1.24 | Avg Makespan: 117.5 | Best: 102.0 | Baseline: 148.5 | LR: 9.999609e-06
Epoch 8 | Loss: 1.97 | Avg Makespan: 134.5 | Best: 126.0 | Baseline: 149.8 | LR: 9.999505e-06
Epoch 9 | Loss: 2.46 | Avg Makespan: 136.2 | Best: 134.0 | Baseline: 151.7 | LR: 9.999389e-06
Epoch 10 | Loss: 3.13 | Avg Makespan: 142.8 | Best: 127.0 | Baseline: 154.0 | LR: 9.999261e-06
Epoch 11 | Loss: 3.78 | Avg Makespan: 150.2 | Best: 142.0 | Baseline: 156.6 | LR: 9.999121e-06
Epoch 12 | Loss: 3.22 | Avg Makespan: 141.2 | Best: 132.0 | Baseline: 158.7 | LR: 9.998968e-06
Epoch 13 | Loss: 3.72 | Avg Makespan: 146.2 | Best: 129.0 | Baseline: 160.7 | LR: 9.998803e-06
Epoch 14 | Loss: 5.92 | Avg Makespan: 164.5 | Best: 159.0 | Baseline: 163.2 | LR: 9.998626e-06
Epoch 15 | Loss: 4.80 | Avg Makespan: 153.2 | Best: 140.0 | Baseline: 165.2 | LR: 9.998437e-06
Epoch 16 | Loss: 3.77 | Avg Makespan: 151.2 | Best: 130.0 | Baseline: 166.7 | LR: 9.998235e-06
Epoch 17 | Loss: 2.67 | Avg Makespan: 140.0 | Best: 128.0 | Baseline: 167.8 | LR: 9.998022e-06
Epoch 18 | Loss: 2.80 | Avg Makespan: 147.2 | Best: 142.0 | Baseline: 168.8 | LR: 9.997796e-06
Epoch 19 | Loss: 3.25 | Avg Makespan: 155.2 | Best: 150.0 | Baseline: 170.1 | LR: 9.997557e-06
Epoch 20 | Loss: 2.62 | Avg Makespan: 149.8 | Best: 144.0 | Baseline: 171.0 | LR: 9.997307e-06
Epoch 21 | Loss: 2.03 | Avg Makespan: 145.5 | Best: 140.0 | Baseline: 171.8 | LR: 9.997045e-06
Epoch 22 | Loss: 2.70 | Avg Makespan: 151.5 | Best: 145.0 | Baseline: 172.9 | LR: 9.996770e-06
Epoch 23 | Loss: 0.81 | Avg Makespan: 135.5 | Best: 110.0 | Baseline: 172.7 | LR: 9.996483e-06
Epoch 24 | Loss: 0.36 | Avg Makespan: 141.0 | Best: 123.0 | Baseline: 172.4 | LR: 9.996184e-06
Epoch 25 | Loss: 1.19 | Avg Makespan: 143.5 | Best: 135.0 | Baseline: 172.7 | LR: 9.995872e-06
Epoch 26 | Loss: 1.39 | Avg Makespan: 150.2 | Best: 147.0 | Baseline: 173.2 | LR: 9.995549e-06
Epoch 27 | Loss: 1.11 | Avg Makespan: 151.8 | Best: 148.0 | Baseline: 173.3 | LR: 9.995213e-06
Epoch 28 | Loss: 1.31 | Avg Makespan: 138.5 | Best: 132.0 | Baseline: 173.8 | LR: 9.994865e-06
Epoch 29 | Loss: 1.22 | Avg Makespan: 150.2 | Best: 141.0 | Baseline: 174.1 | LR: 9.994505e-06
Epoch 30 | Loss: 0.47 | Avg Makespan: 130.0 | Best: 122.0 | Baseline: 173.7 | LR: 9.994133e-06
Epoch 31 | Loss: 0.51 | Avg Makespan: 141.2 | Best: 130.0 | Baseline: 173.4 | LR: 9.993748e-06
Epoch 32 | Loss: 0.62 | Avg Makespan: 146.0 | Best: 135.0 | Baseline: 173.3 | LR: 9.993351e-06
Epoch 33 | Loss: 0.36 | Avg Makespan: 136.8 | Best: 133.0 | Baseline: 172.6 | LR: 9.992942e-06
Epoch 34 | Loss: 0.59 | Avg Makespan: 127.2 | Best: 123.0 | Baseline: 171.8 | LR: 9.992521e-06
Epoch 35 | Loss: 0.46 | Avg Makespan: 134.8 | Best: 115.0 | Baseline: 171.3 | LR: 9.992088e-06
Epoch 36 | Loss: 0.53 | Avg Makespan: 135.2 | Best: 127.0 | Baseline: 170.5 | LR: 9.991642e-06
Epoch 37 | Loss: 0.70 | Avg Makespan: 127.2 | Best: 120.0 | Baseline: 169.8 | LR: 9.991184e-06
Epoch 38 | Loss: 0.67 | Avg Makespan: 136.5 | Best: 129.0 | Baseline: 169.3 | LR: 9.990714e-06
Epoch 39 | Loss: 0.77 | Avg Makespan: 130.2 | Best: 121.0 | Baseline: 168.8 | LR: 9.990232e-06
Epoch 40 | Loss: 0.70 | Avg Makespan: 132.5 | Best: 123.0 | Baseline: 167.8 | LR: 9.989738e-06
Epoch 41 | Loss: 0.87 | Avg Makespan: 128.2 | Best: 124.0 | Baseline: 167.0 | LR: 9.989231e-06
Epoch 42 | Loss: 0.79 | Avg Makespan: 131.0 | Best: 128.0 | Baseline: 166.3 | LR: 9.988713e-06
Epoch 43 | Loss: 0.59 | Avg Makespan: 122.8 | Best: 116.0 | Baseline: 165.7 | LR: 9.988182e-06
Epoch 44 | Loss: 0.77 | Avg Makespan: 137.5 | Best: 125.0 | Baseline: 165.7 | LR: 9.987639e-06
Epoch 45 | Loss: 0.68 | Avg Makespan: 132.8 | Best: 129.0 | Baseline: 165.3 | LR: 9.987084e-06
Epoch 46 | Loss: 0.70 | Avg Makespan: 143.0 | Best: 134.0 | Baseline: 165.1 | LR: 9.986516e-06
Epoch 47 | Loss: 0.95 | Avg Makespan: 122.2 | Best: 118.0 | Baseline: 164.3 | LR: 9.985937e-06
Epoch 48 | Loss: 0.78 | Avg Makespan: 137.5 | Best: 132.0 | Baseline: 164.4 | LR: 9.985345e-06
Epoch 49 | Loss: 0.83 | Avg Makespan: 146.5 | Best: 138.0 | Baseline: 164.5 | LR: 9.984741e-06
Epoch 50 | Loss: 0.87 | Avg Makespan: 129.2 | Best: 103.0 | Baseline: 163.9 | LR: 9.984125e-06
Epoch 51 | Loss: 0.81 | Avg Makespan: 132.8 | Best: 130.0 | Baseline: 163.2 | LR: 9.983496e-06
Epoch 52 | Loss: 0.86 | Avg Makespan: 131.0 | Best: 129.0 | Baseline: 162.8 | LR: 9.982856e-06
Epoch 53 | Loss: 0.78 | Avg Makespan: 132.8 | Best: 125.0 | Baseline: 162.6 | LR: 9.982203e-06
Epoch 54 | Loss: 0.87 | Avg Makespan: 128.5 | Best: 114.0 | Baseline: 162.2 | LR: 9.981538e-06
Epoch 55 | Loss: 0.71 | Avg Makespan: 136.0 | Best: 125.0 | Baseline: 162.4 | LR: 9.980861e-06
Epoch 56 | Loss: 0.58 | Avg Makespan: 118.5 | Best: 118.0 | Baseline: 161.9 | LR: 9.980172e-06
Epoch 57 | Loss: 0.86 | Avg Makespan: 132.5 | Best: 130.0 | Baseline: 161.3 | LR: 9.979471e-06
Epoch 58 | Loss: 0.78 | Avg Makespan: 137.2 | Best: 130.0 | Baseline: 161.4 | LR: 9.978757e-06
Epoch 59 | Loss: 0.74 | Avg Makespan: 124.8 | Best: 112.0 | Baseline: 161.5 | LR: 9.978032e-06
Epoch 60 | Loss: 0.78 | Avg Makespan: 131.5 | Best: 108.0 | Baseline: 161.5 | LR: 9.977294e-06
Epoch 61 | Loss: 1.04 | Avg Makespan: 135.2 | Best: 132.0 | Baseline: 161.4 | LR: 9.976544e-06
Epoch 62 | Loss: 0.87 | Avg Makespan: 125.5 | Best: 123.0 | Baseline: 160.9 | LR: 9.975782e-06
Epoch 63 | Loss: 0.94 | Avg Makespan: 140.8 | Best: 130.0 | Baseline: 161.4 | LR: 9.975008e-06
Epoch 64 | Loss: 0.85 | Avg Makespan: 141.0 | Best: 132.0 | Baseline: 162.2 | LR: 9.974221e-06
Epoch 65 | Loss: 0.94 | Avg Makespan: 147.8 | Best: 145.0 | Baseline: 162.8 | LR: 9.973423e-06
Epoch 66 | Loss: 0.89 | Avg Makespan: 146.8 | Best: 145.0 | Baseline: 163.3 | LR: 9.972612e-06
Epoch 67 | Loss: 0.88 | Avg Makespan: 134.2 | Best: 122.0 | Baseline: 163.7 | LR: 9.971789e-06
Epoch 68 | Loss: 0.98 | Avg Makespan: 142.2 | Best: 135.0 | Baseline: 164.1 | LR: 9.970954e-06
Epoch 69 | Loss: 0.89 | Avg Makespan: 140.2 | Best: 133.0 | Baseline: 164.5 | LR: 9.970107e-06
Epoch 70 | Loss: 0.90 | Avg Makespan: 137.0 | Best: 125.0 | Baseline: 164.8 | LR: 9.969247e-06
Epoch 71 | Loss: 0.94 | Avg Makespan: 144.8 | Best: 141.0 | Baseline: 165.6 | LR: 9.968376e-06
